transmitter_id,transmittername,transmitter_codespace
35434.0,A180-1702-35434,A180-1702
35435.0,A180-1702-35435,A180-1702
35436.0,A180-1702-35436,A180-1702
35443.0,A180-1702-35443,A180-1702
35444.0,A180-1702-35444,A180-1702
35446.0,A180-1702-35446,A180-1702
35450.0,A180-1702-35450,A180-1702
35451.0,A180-1702-35451,A180-1702
35454.0,A180-1702-35454,A180-1702
35456.0,A180-1702-35456,A180-1702
35457.0,A180-1702-35457,A180-1702
35458.0,A180-1702-35458,A180-1702
35459.0,A180-1702-35459,A180-1702
35460.0,A180-1702-35460,A180-1702
35463.0,A180-1702-35463,A180-1702
35465.0,A180-1702-35465,A180-1702
35467.0,A180-1702-35467,A180-1702
35468.0,A180-1702-35468,A180-1702
35469.0,A180-1702-35469,A180-1702
35470.0,A180-1702-35470,A180-1702
35472.0,A180-1702-35472,A180-1702
35475.0,A180-1702-35475,A180-1702
35478.0,A180-1702-35478,A180-1702
35479.0,A180-1702-35479,A180-1702
42392.0,A180-1702-42392,A180-1702
42393.0,A180-1702-42393,A180-1702
42394.0,A180-1702-42394,A180-1702
42398.0,A180-1702-42398,A180-1702
42400.0,A180-1702-42400,A180-1702
42402.0,A180-1702-42402,A180-1702
42403.0,A180-1702-42403,A180-1702
42404.0,A180-1702-42404,A180-1702
42406.0,A180-1702-42406,A180-1702
42409.0,A180-1702-42409,A180-1702
42416.0,A180-1702-42416,A180-1702
42417.0,A180-1702-42417,A180-1702
42421.0,A180-1702-42421,A180-1702
42424.0,A180-1702-42424,A180-1702
42425.0,A180-1702-42425,A180-1702
42426.0,A180-1702-42426,A180-1702
42427.0,A180-1702-42427,A180-1702
42429.0,A180-1702-42429,A180-1702
42431.0,A180-1702-42431,A180-1702
42433.0,A180-1702-42433,A180-1702
42434.0,A180-1702-42434,A180-1702
42435.0,A180-1702-42435,A180-1702
42436.0,A180-1702-42436,A180-1702
42437.0,A180-1702-42437,A180-1702
42438.0,A180-1702-42438,A180-1702
42439.0,A180-1702-42439,A180-1702
50940.0,A69-1303-50940,A69-1303
50950.0,A69-1303-50950,A69-1303
56361.0,A69-1303-56361,A69-1303
56362.0,A69-1303-56362,A69-1303
56363.0,A69-1303-56363,A69-1303
56364.0,A69-1303-56364,A69-1303
56365.0,A69-1303-56365,A69-1303
56366.0,A69-1303-56366,A69-1303
56367.0,A69-1303-56367,A69-1303
56368.0,A69-1303-56368,A69-1303
56369.0,A69-1303-56369,A69-1303
56370.0,A69-1303-56370,A69-1303
56371.0,A69-1303-56371,A69-1303
56372.0,A69-1303-56372,A69-1303
56373.0,A69-1303-56373,A69-1303
56375.0,A69-1303-56375,A69-1303
56376.0,A69-1303-56376,A69-1303
56377.0,A69-1303-56377,A69-1303
56378.0,A69-1303-56378,A69-1303
