platform_project_reference,datacenter_reference,platform_reference_id,platform_guid,platform_type,platform_depth,platform_name,latitude,longitude
,,,,,,,degrees_north,degrees_east
V2LCELA,OTN-Global,TB03N,OTN-GlobalV2LCELATB03N,Underwater mooring,0.9,TB03N,25.14363,-80.7194
V2LCELA,OTN-Global,TB04,OTN-GlobalV2LCELATB04,Underwater mooring,0.9,TB04,25.14262,-80.71773
V2LCELA,OTN-Global,TB05,OTN-GlobalV2LCELATB05,Underwater mooring,0.8,TB05,25.14164,-80.71605
V2LCELA,OTN-Global,TB06,OTN-GlobalV2LCELATB06,Underwater mooring,0.7,TB06,25.15116,-80.71458
V2LCELA,OTN-Global,WB01,OTN-GlobalV2LCELAWB01,Underwater mooring,1.5,WB01,25.09244,-80.75734
V2LCELA,OTN-Global,WB02,OTN-GlobalV2LCELAWB02,Underwater mooring,1.5,WB02,25.08146,-80.7478
V2LCELA,OTN-Global,WB03,OTN-GlobalV2LCELAWB03,Underwater mooring,1.5,WB03,25.08944,-80.77105
V2LCHASES,OTN-Global,V2LCHASES000,OTN-GlobalV2LCHASESV2LCHASES000,Underwater mooring,1.0,V2LCHASES000,67.1053,15.4093
V2LCHASES,OTN-Global,V2LCHASES001,OTN-GlobalV2LCHASESV2LCHASES001,Underwater mooring,2.0,V2LCHASES001,67.0965,15.4804
V2LCHASES,OTN-Global,V2LCHASES002,OTN-GlobalV2LCHASESV2LCHASES002,Underwater mooring,20.0,V2LCHASES002,67.099,15.4677
V2LCHASES,OTN-Global,V2LCHASES003,OTN-GlobalV2LCHASESV2LCHASES003,Underwater mooring,20.0,V2LCHASES003,67.1101,15.4397
V2LCHASES,OTN-Global,V2LCHASES004,OTN-GlobalV2LCHASESV2LCHASES004,Underwater mooring,20.0,V2LCHASES004,67.1077,15.4382
JDF,nep,JDF014,nepJDFJDF014,Underwater mooring,185.0,JDF014,48.29927,-124.00953
V2LCHASES,OTN-Global,V2LCHASES005,OTN-GlobalV2LCHASESV2LCHASES005,Underwater mooring,30.0,V2LCHASES005,67.106,15.4363
V2LCHASES,OTN-Global,V2LCHASES006,OTN-GlobalV2LCHASESV2LCHASES006,Underwater mooring,20.0,V2LCHASES006,67.1079,15.4296
V2LCHASES,OTN-Global,V2LCHASES007,OTN-GlobalV2LCHASESV2LCHASES007,Underwater mooring,50.0,V2LCHASES007,67.1091,15.4262
V2LCHASES,OTN-Global,V2LCHASES008,OTN-GlobalV2LCHASESV2LCHASES008,Underwater mooring,20.0,V2LCHASES008,67.1085,15.4229
V2LCHASES,OTN-Global,V2LCHASES009,OTN-GlobalV2LCHASESV2LCHASES009,Underwater mooring,30.0,V2LCHASES009,67.1085,15.4181
V2LCHASES,OTN-Global,V2LCHASES010,OTN-GlobalV2LCHASESV2LCHASES010,Underwater mooring,50.0,V2LCHASES010,67.136,15.4428
V2LCHASES,OTN-Global,V2LCHASES011,OTN-GlobalV2LCHASESV2LCHASES011,Underwater mooring,200.0,V2LCHASES011,67.134,15.4349
V2LCHASES,OTN-Global,V2LCHASES012,OTN-GlobalV2LCHASESV2LCHASES012,Underwater mooring,200.0,V2LCHASES012,67.136,15.4226
V2LCHASES,OTN-Global,V2LCHASES013,OTN-GlobalV2LCHASESV2LCHASES013,Underwater mooring,5.0,V2LCHASES013,67.1379,15.4031
V2LCHASES,OTN-Global,V2LCHASES014,OTN-GlobalV2LCHASESV2LCHASES014,Underwater mooring,200.0,V2LCHASES014,67.1471,15.4089
V2LCHASES,OTN-Global,V2LCHASES016,OTN-GlobalV2LCHASESV2LCHASES016,Underwater mooring,300.0,V2LCHASES016,67.1727,15.4535
V2LCHASES,OTN-Global,V2LCHASES017,OTN-GlobalV2LCHASESV2LCHASES017,Underwater mooring,300.0,V2LCHASES017,67.1718,15.4447
V2LCHASES,OTN-Global,V2LCHASES018,OTN-GlobalV2LCHASESV2LCHASES018,Underwater mooring,300.0,V2LCHASES018,67.1694,15.4347
V2LCHASES,OTN-Global,V2LCHASES019,OTN-GlobalV2LCHASESV2LCHASES019,Underwater mooring,350.0,V2LCHASES019,67.1702,15.423
V2LCHASES,OTN-Global,V2LCHASES020,OTN-GlobalV2LCHASESV2LCHASES020,Underwater mooring,200.0,V2LCHASES020,67.1784,15.4073
V2LCHASES,OTN-Global,V2LCHASES021,OTN-GlobalV2LCHASESV2LCHASES021,Underwater mooring,45.0,V2LCHASES021,67.1854,15.4029
V2LCHASES,OTN-Global,V2LCHASES022,OTN-GlobalV2LCHASESV2LCHASES022,Underwater mooring,150.0,V2LCHASES022,67.2152,15.3854
V2LCHASES,OTN-Global,V2LCHASES023,OTN-GlobalV2LCHASESV2LCHASES023,Underwater mooring,200.0,V2LCHASES023,67.2119,15.3801
V2LCHASES,OTN-Global,V2LCHASES024,OTN-GlobalV2LCHASESV2LCHASES024,Underwater mooring,420.0,V2LCHASES024,67.2074,15.3811
V2LCHASES,OTN-Global,V2LCHASES025,OTN-GlobalV2LCHASESV2LCHASES025,Underwater mooring,420.0,V2LCHASES025,67.2002,15.38
V2LCHASES,OTN-Global,V2LCHASES026,OTN-GlobalV2LCHASESV2LCHASES026,Underwater mooring,420.0,V2LCHASES026,67.1969,15.3776
V2LCHASES,OTN-Global,V2LCHASES027,OTN-GlobalV2LCHASESV2LCHASES027,Underwater mooring,200.0,V2LCHASES027,67.1933,15.3777
V2LCHASES,OTN-Global,V2LCHASES028,OTN-GlobalV2LCHASESV2LCHASES028,Underwater mooring,80.0,V2LCHASES028,67.2453,15.411
V2LCHASES,OTN-Global,V2LCHASES029,OTN-GlobalV2LCHASESV2LCHASES029,Underwater mooring,3.0,V2LCHASES029,67.2416,15.4007
V2LCHASES,OTN-Global,V2LCHASES030,OTN-GlobalV2LCHASESV2LCHASES030,Underwater mooring,40.0,V2LCHASES030,67.2308,15.3664
V2LCHASES,OTN-Global,V2LCHASES031,OTN-GlobalV2LCHASESV2LCHASES031,Underwater mooring,250.0,V2LCHASES031,67.2325,15.357
V2LCHASES,OTN-Global,V2LCHASES032,OTN-GlobalV2LCHASESV2LCHASES032,Underwater mooring,200.0,V2LCHASES032,67.2332,15.3442
V2LCHASES,OTN-Global,V2LCHASES033,OTN-GlobalV2LCHASESV2LCHASES033,Underwater mooring,120.0,V2LCHASES033,67.236,15.3354
V2LCHASES,OTN-Global,V2LCHASES034,OTN-GlobalV2LCHASESV2LCHASES034,Underwater mooring,3.0,V2LCHASES034,67.2265,15.3525
V2LCHASES,OTN-Global,V2LCHASES035,OTN-GlobalV2LCHASESV2LCHASES035,Underwater mooring,50.0,V2LCHASES035,67.1973,15.2983
V2LCHASES,OTN-Global,V2LCHASES036,OTN-GlobalV2LCHASESV2LCHASES036,Underwater mooring,3.0,V2LCHASES036,67.2024,15.2777
V2LCHASES,OTN-Global,V2LCHASES037,OTN-GlobalV2LCHASESV2LCHASES037,Underwater mooring,290.0,V2LCHASES037,67.2324,15.2407
V2LCHASES,OTN-Global,V2LCHASES038,OTN-GlobalV2LCHASESV2LCHASES038,Underwater mooring,500.0,V2LCHASES038,67.2305,15.2312
V2LCHASES,OTN-Global,V2LCHASES039,OTN-GlobalV2LCHASESV2LCHASES039,Underwater mooring,500.0,V2LCHASES039,67.2275,15.2255
V2LCHASES,OTN-Global,V2LCHASES040,OTN-GlobalV2LCHASESV2LCHASES040,Underwater mooring,350.0,V2LCHASES040,67.2252,15.2199
V2LCHASES,OTN-Global,V2LCHASES041,OTN-GlobalV2LCHASESV2LCHASES041,Underwater mooring,63.0,V2LCHASES041,67.2446,14.7435
V2LCHASES,OTN-Global,V2LCHASES042,OTN-GlobalV2LCHASESV2LCHASES042,Underwater mooring,350.0,V2LCHASES042,67.2423,14.7442
V2LCHASES,OTN-Global,V2LCHASES043,OTN-GlobalV2LCHASESV2LCHASES043,Underwater mooring,250.0,V2LCHASES043,67.2319,15.2417
V2LCHASES,OTN-Global,V2LCHASES044,OTN-GlobalV2LCHASESV2LCHASES044,Underwater mooring,300.0,V2LCHASES044,67.2366,14.7628
V2LCHASES,OTN-Global,V2LCHASES045,OTN-GlobalV2LCHASESV2LCHASES045,Underwater mooring,50.0,V2LCHASES045,67.235,14.7661
V2LCHASES,OTN-Global,V2LCHASES046,OTN-GlobalV2LCHASESV2LCHASES046,Underwater mooring,11.5,V2LCHASES046,67.1246,14.99
V2LCHASES,OTN-Global,V2LCHASES047,OTN-GlobalV2LCHASESV2LCHASES047,Underwater mooring,16.0,V2LCHASES047,67.2357,15.0009
V2LCHASES,OTN-Global,V2LCHASES048,OTN-GlobalV2LCHASESV2LCHASES048,Underwater mooring,15.0,V2LCHASES048,67.2341,15.0045
V2LCHASES,OTN-Global,V2LCHASES049,OTN-GlobalV2LCHASESV2LCHASES049,Underwater mooring,30.0,V2LCHASES049,67.2861,15.0282
V2LCHASES,OTN-Global,V2LCHASES050,OTN-GlobalV2LCHASESV2LCHASES050,Underwater mooring,330.0,V2LCHASES050,67.2788,15.0306
V2LCHASES,OTN-Global,V2LCHASES051,OTN-GlobalV2LCHASESV2LCHASES051,Underwater mooring,15.0,V2LCHASES051,67.2903,14.8584
V2LCHASES,OTN-Global,V2LCHASES052,OTN-GlobalV2LCHASESV2LCHASES052,Underwater mooring,45.0,V2LCHASES052,67.2927,14.8937
V2LCHASES,OTN-Global,V2LCHASES053,OTN-GlobalV2LCHASESV2LCHASES053,Underwater mooring,129.0,V2LCHASES053,67.2892,14.8917
V2LCHASES,OTN-Global,V2LCHASES054,OTN-GlobalV2LCHASESV2LCHASES054,Underwater mooring,45.0,V2LCHASES054,67.287,14.8809
V2LCHASES,OTN-Global,V2LCHASES055,OTN-GlobalV2LCHASESV2LCHASES055,Underwater mooring,20.0,V2LCHASES055,67.2837,14.8758
